text,y
Chuckie isn’t the sharpest knife in the drawer,0.2857142857142857
Everyone knows that the rich are hurting and need our financial assistance. ,0.14285714285714285
Not a ' bogeyman'.... Simply a ' good kid' leaving Canada to kill and maim in the name of a particular prophet?,0.7142857142857143
Islam permits true believers to dissemble in order to protect their beliefs and faith.,0.7142857142857143
"You are right. They were also opposed to the Irish/Italians etc when they came and made their lives difficult. we (Canadians who are all immigrants) have claimed Canada as ours, which rightly belongs to native americans.",0.0
That is a supposition as opposed to the certainty that Harper has been disaster and embarrassment.,0.0
Agreed - I avoid them like the plague,0.0
It has been reported in many places for days. The Canadian media has just refused to cover it.,0.0
"So, report them.",0.0
So why does the government feel it needs to force middle income earners to save? Can adults not take care of themselves? It should be a choice. Why does the government need to micro manage us? Generation Screwed...,1.0
"you know being a lawyer isn't just working in a courtroom? we draft depositions and tribunal guidelines and interview clients and witnesses, research cases and manage and train newcomers... I mean, I know TV is not a good indication of the world outside the basement",0.0
"I thought Asian's weren't considered minorities because they don't complain, do well in school and in business",1.0
thoughs and prayers - yeah that'll save a lot of lives,0.14285714285714285
"Well Richard, Canada is a really big, cold country which may somewhat skew the comparables.",0.0
Which only indicates your being out of touch.,0.14285714285714285
you people seriously need help . You are all pathetic......,0.8571428571428571
Do you think many Americans know much about who laid the groundwork for modern liberal democracy? Do you think many Americans even know much about modern liberal democracy???,0.0
"Yes, I'm quite sure Bill has heard enough and many times before..... Actually, I have to congratulate him for putting up with the pant suit lady..... Imagine trying to live with that....!",0.2857142857142857
arab culture do not compliment western culture there will be many many problems to come,0.2857142857142857
Federal government underworld grows in both Senate and HoC. Membership to these chambers means Greenhouse effect is in full flight. Proximity to excessive tax access and you make these people look like thieves. Are they?,0.0
Are you stuck in the 1950s?,0.5714285714285714
"Thank you Konrad for an insightful article. Greece and Greeks, with their congenital hubris, are always quick to point the finger of blame at others.",0.7142857142857143
"Joe, you live up to your last name daily.",0.0
A vacuous comment from a simple mind.,0.42857142857142855
"Hardly, Guest. I'm merely subscribing to YOUR ""logic""...",0.0
Harper the hypocrite.,0.0
"If you don't see the anger there, check out this U of T video. www.youtube.com/watch?v=Sx7PIIA60XQU of T is a hostile environment for all men, even when they're trying to talk about equality in education. This is what happens.",0.0
"The article is thoughtful, perceptive, and sensible.",0.0
A month of confinement is mental and physical abuse. Are you joking here?,0.42857142857142855
The bias and attempt at social engineering of the mainstream media represents a greater onslaught on the democratic process than social media,0.14285714285714285
sorry cant feel sorry for the guy been sucking on the front tit for too long and the only reason he's at all relevant is our government allows french language laws to rule. Yes french spelled wit a small f.,0.8571428571428571
And we have two semi pretty blonde bobble heads that frame Harper and nod every time the great Dick-tator opens his mouth for the camera's,0.7142857142857143
"Sorry, but it's a health care matter. A woman shouldn't have to PLEAD with not one, but two doctors to be granted the RIGHT to an abortion. How paternalistic and condescending.",0.0
Mark. Why didn't he finish?? Were the two years both in a first year program?,0.42857142857142855
