text,y
"Let me guess, are you a ""white English heterosexual Christian male.""?",0.0
"Don227 - sorry to disappoint - but I am a professional engineer who was rather well paid for my leaps of logic, hold several patents and solved some challenging high tech process system problems. Therefore my post stands as is !",0.0
"Beautifully said, Walt. Thanks! Since sanity seems to be a shifting norm in the world, yes, we'll have to be a lot more vigilant...",0.0
A 13-year old hasn't gone through puberty yet - get back to us in 10 years.,0.0
The Owetario Lieberal party = bribery,0.14285714285714285
Very well put. The G&M is looking more and more like an organ of the CPC. Compare G&M headlines with those of the Toronto Star on the same issues.,0.0
In what universe is a wild bear 'cute and cuddly' And that's just the beginning of problems with your analysis.,0.5714285714285714
"""which in some ways is bad...."" Environmentally and for social justice in Canada, among other ways. Don't ever go deep, bobbers.",0.0
"NoinradClearly you are a 'believer', and no amount of adverse data will change your mind. You are the little kid with fingers in ears saying la la la can't hear you!",0.14285714285714285
JT did not divulge the other party. He referred to another party only.,0.0
Wales is celebrating too!,0.0
Obama's 8 wasted years are as nothing when people think of Trump or Clinton as president. Hence his approval numbers.,0.0
You are being really fucking nasty about this,0.2857142857142857
"Your comment has what relevance to the points raised in the article, exactly?",0.0
A WHOLE paragraph of NOTHING.......... I just wasted 15 seconds of my life reading your garbage,0.7142857142857143
I'm pretty sure his day is OK.,0.0
"Respect, Hal. C.",0.0
Stay on topic.,0.2857142857142857
Learn to spell and/or proof your comments before posting.,0.5714285714285714
The video of Alton Sterling shows him quite clearly being shot point blank in the chest.,0.0
Interesting that you assume a law targeting convicted terrorists is an attack on your people.,0.0
"""On January 29, 2014, Trudeau announced all Liberal senators were removed from the Liberal parliamentary caucus, and asked to sit as independents"". There is no old Liberal gang.",0.0
Literally the dumbest shit I've read in decades.,0.5714285714285714
"Don't worry. Like Canada, Britain is a branch plant of the American-dominated corporate empire. The Americans will take care of the elites, the masses of people not so much. But the masses always suffer no matter what form of government is in power.",0.0
his book while interesting is not entirely correct either,0.0
"500, 000 dead Arabs are irrelevant",0.0
"Not long, I guess. But what can you do?",0.0
Not again? Try reading the famous Canadian Charter and have a look at our silly Human Rights Commissios and get back to me in the morning.,0.2857142857142857
"Multitasking is another way of saying lack of focus, but the corporate world uses it as a badge of honor. You only have to look at drivers who text or use their cel phones to see the truth of it.",0.0
"All those Unionists just locked themselves out at Nanticoke, that's why the bums vote Liberal and NDP because if their cushy overpaid job gets in-housed to the USA they can at least count on a big fat cheque from Ontariowe works every month.",0.0
"You are not fooling anyone, it's more than a little one sided I'd say.",0.2857142857142857
"Beware progressive leftists They try to give you ""guilt"" for not being ""compassionate"" as they aspire to ""compassion"" with other people's money",0.0
The left done got religion.,0.8571428571428571
